# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2022-06-13T04:23:46
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, volume, page (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2019-01-19 01:00, 1.2582,-0.0847
2019-01-21 00:10, 0.9602,-0.1499
2019-01-22 00:10,-------,-------
2019-01-22 00:50, 0.9430,-0.2268
2019-01-24 00:40, 0.8218,-0.1768
2019-01-26 23:50, 1.1599,-0.0624
2019-01-28 23:40, 1.4347,-0.0761
2019-01-29 00:20, 1.0813, 0.0356
2019-01-31 23:30, 1.1837,-0.1757
2019-02-05 23:10, 0.8929,-0.1346
2019-02-05 23:50, 1.0205,-0.1797
2019-02-10 22:50, 1.0274,-0.3785
2019-02-10 23:20,-------,-------
2019-02-10 23:30, 0.9800,-0.2006
2019-02-15 22:30, 0.9430,-0.3690
2019-02-15 23:10, 0.7007,-0.3651
2019-02-20 22:10,-------,-------
2019-02-20 22:50, 0.8568,-0.3842
2019-02-23 22:00, 0.9073,-0.4139
2019-02-25 22:30, 1.2440,-0.1558
2019-02-28 21:40, 0.8944,-0.3666
2019-03-02 22:10,-------,-------
2019-03-05 21:20, 1.0698,-0.4468
2019-03-05 22:00, 0.8568,-0.5559
2019-03-10 21:00, 0.9409,-0.4223
2019-03-10 21:40, 1.0344,-0.4624
2019-03-15 20:40, 0.8767,-0.3389
2019-03-15 21:20, 0.9911,-0.1843
2019-03-17 20:20,-------,-------
2019-03-18 20:30,-------,-------
2019-03-20 20:20, 1.0136,-0.3710
2019-03-20 21:00, 0.6588,-0.3746
2019-03-23 20:10, 0.9646,-0.4050
2019-03-28 19:50, 0.8333,-0.5529
2019-03-29 20:20,-------,-------
2019-03-30 20:20, 1.0274,-0.3989
2019-04-02 19:30, 0.7145,-0.4508
2019-04-02 20:10, 1.0722,-0.2418
2019-04-04 20:00,-------,-------
2019-04-07 19:10, 0.6506,-0.4289
2019-04-07 19:50, 0.9537,-0.2606
